id,question,answer,relation,source_triple,question_type,answer_original,answer_revised
Q_menerbitkan_0,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_5_2015""?",KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL,menerbitkan,KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL -> menerbitkan -> PerMENTERI_KEMENTER_5_2015,factoid,KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL,KEMENTERIAN PERENCANAAN PEMBANGUNAN NASIONAL/BADAN PERENCANAAN PEMBANGUNAN NASIONAL
Q_menerbitkan_1,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_12_2015""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_12_2015,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_2,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_BADANPEN_4_2019""?",BADAN PENGAWAS OBAT DAN MAKANAN,menerbitkan,BADAN PENGAWAS OBAT DAN MAKANAN -> menerbitkan -> PerBADANLE_BADANPEN_4_2019,factoid,BADAN PENGAWAS OBAT DAN MAKANAN,BADAN PENGAWAS OBAT DAN MAKANAN
Q_menerbitkan_3,"Lembaga apa yang menerbitkan peraturan tentang ""PerDAERAH_PROVINSI_5_1990""?",PROVINSI NANGGROE ACEH DARUSSALAM,menerbitkan,PROVINSI NANGGROE ACEH DARUSSALAM -> menerbitkan -> PerDAERAH_PROVINSI_5_1990,factoid,PROVINSI NANGGROE ACEH DARUSSALAM,PROVINSI NANGGROE ACEH DARUSSALAM
Q_menerbitkan_4,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_14_2019""?",KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,menerbitkan,KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK -> menerbitkan -> PerMENTERI_KEMENTER_14_2019,factoid,KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,KEMENTERIAN PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK
Q_menerbitkan_5,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_3_2006""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_3_2006,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_6,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_13_2016""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_13_2016,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_7,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_1_2025""?","KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN",menerbitkan,"KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN -> menerbitkan -> PerMENTERI_KEMENTER_1_2025",factoid,"KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN","KEMENTERIAN KOORDINATOR BIDANG HUKUM, HAK ASASI MANUSIA, IMIGRASI, DAN PEMASYARAKATAN"
Q_menerbitkan_8,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_27_2016""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_27_2016,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_9,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_BADANPEL_3_2022""?",BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA,menerbitkan,BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA -> menerbitkan -> PerBADANLE_BADANPEL_3_2022,factoid,BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA,BADAN PELINDUNGAN PEKERJA MIGRAN INDONESIA
Q_menerbitkan_10,"Lembaga apa yang menerbitkan peraturan tentang ""PerDAERAH_KOTABOGO_46_2018""?",KOTA BOGOR,menerbitkan,KOTA BOGOR -> menerbitkan -> PerDAERAH_KOTABOGO_46_2018,factoid,KOTA BOGOR,KOTA BOGOR
Q_menerbitkan_11,"Lembaga apa yang menerbitkan peraturan tentang ""PerBADANLE_ARSIPNAS_6_2014""?",ARSIP NASIONAL,menerbitkan,ARSIP NASIONAL -> menerbitkan -> PerBADANLE_ARSIPNAS_6_2014,factoid,ARSIP NASIONAL,ARSIP NASIONAL
Q_menerbitkan_12,"Lembaga apa yang menerbitkan peraturan tentang ""PerMENTERI_KEMENTER_73_2020""?",KEMENTERIAN PERDAGANGAN,menerbitkan,KEMENTERIAN PERDAGANGAN -> menerbitkan -> PerMENTERI_KEMENTER_73_2020,factoid,KEMENTERIAN PERDAGANGAN,KEMENTERIAN PERDAGANGAN
